W,H,rP,cv_final,log1p_cv,otsu,percentil,mad,kmeans,gmm,probabilidade_alta_gmm
2,0.01,0.01,0.006187604332,0.006168539711,baixa,baixa,baixa,baixa,baixa,0.04138057528
2,0.01,0.03,0.009506825022,0.009461919542,baixa,baixa,baixa,baixa,baixa,0.03792030622
2,0.01,0.032,0.01400608149,0.01390890267,baixa,baixa,baixa,baixa,baixa,0.03406238203
2,0.01,0.035,0.007601506556,0.007572760688,baixa,baixa,baixa,baixa,baixa,0.03983584473
2,0.01,0.037,0.009672848924,0.009626366426,baixa,baixa,baixa,baixa,baixa,0.03776190588
2,0.01,0.04,0.01145251622,0.0113874326,baixa,baixa,baixa,baixa,baixa,0.03614437308
2,0.01,0.042,0.01098721149,0.01092729059,baixa,baixa,baixa,baixa,baixa,0.03655342674
2,0.01,0.045,0.008145550118,0.008112554184,baixa,baixa,baixa,baixa,baixa,0.03927007382
2,0.01,0.047,0.01257163982,0.01249327288,baixa,baixa,baixa,baixa,baixa,0.0351988667
2,0.01,0.05,0.01062843365,0.0105723489,baixa,baixa,baixa,baixa,baixa,0.03687542694
2,0.01,0.052,0.0132583614,0.01317123855,baixa,baixa,baixa,baixa,baixa,0.03464451939
2,0.01,0.055,0.01058330841,0.01052769722,baixa,baixa,baixa,baixa,baixa,0.03691633888
2,0.01,0.057,0.00932046038,0.009277292909,baixa,baixa,baixa,baixa,baixa,0.03809969278
2,0.01,0.06,0.01182916823,0.01175975052,baixa,baixa,baixa,baixa,baixa,0.03582019164
2,0.01,0.065,0.01298813061,0.01290450813,baixa,baixa,baixa,baixa,baixa,0.03486037223
2,0.01,0.07,0.01264953806,0.01257020101,baixa,baixa,baixa,baixa,baixa,0.03513501515
2,0.01,0.075,0.01169773844,0.01162984882,baixa,baixa,baixa,baixa,baixa,0.03593261536
2,0.01,0.08,0.01479335062,0.01468499632,baixa,baixa,baixa,baixa,baixa,0.03347278524
2,0.01,0.1,0.01765550227,0.01750145444,baixa,baixa,baixa,baixa,baixa,0.03151768115
2,0.01,0.11,0.0191550102,0.0189738626,baixa,baixa,baixa,baixa,baixa,0.03060245038
2,0.01,0.12,0.01915802575,0.01897682146,baixa,baixa,baixa,baixa,baixa,0.03060068055
2,0.01,0.14,0.01977630244,0.01958329191,baixa,baixa,baixa,baixa,baixa,0.03024362489
2,0.01,0.16,0.02475922635,0.02445768388,baixa,baixa,baixa,baixa,baixa,0.02775641567
2,0.01,0.17,0.02545937296,0.02514068093,baixa,baixa,baixa,baixa,baixa,0.02745796908
2,0.01,0.18,0.02722012759,0.02685624838,baixa,baixa,baixa,baixa,baixa,0.02675773952
2,0.01,0.2,0.02950618233,0.02907925264,baixa,baixa,baixa,baixa,baixa,0.02594990934
2,0.01,0.22,0.03182555635,0.03132961822,baixa,baixa,baixa,baixa,baixa,0.02523882047
2,0.01,0.25,0.04550656039,0.04450151475,baixa,baixa,baixa,baixa,baixa,0.0229113914
2,0.01,0.3,0.06252462053,0.06064779381,baixa,baixa,baixa,baixa,baixa,0.02374059739
2,0.01,0.35,0.07829963454,0.07538538799,baixa,baixa,baixa,baixa,baixa,0.02842980662
2,0.01,0.38,0.5630750345,0.446655057,alta,baixa,alta,alta,alta,1
2,0.01,0.385,0.06756422512,0.06537962836,baixa,baixa,baixa,baixa,baixa,0.02477298044
2,0.01,0.395,1.370569966,0.8631304183,alta,alta,alta,alta,alta,1
2,0.01,0.4,0.5648026417,0.4477597085,alta,baixa,alta,alta,alta,1
2,0.01,0.41,1.371114581,0.863360132,alta,alta,alta,alta,alta,1
2,0.01,0.415,0.9146042734,0.6495109555,alta,baixa,alta,alta,alta,1
2,0.01,0.42,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
2,0.01,0.43,0.9204920153,0.6525814112,alta,baixa,alta,alta,alta,1
2,0.01,0.435,1.370738201,0.863201384,alta,alta,alta,alta,alta,1
2,0.01,0.44,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.01,0.45,1.370150215,0.8629533352,alta,alta,alta,alta,alta,1
2,0.01,0.455,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
2,0.01,0.46,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.01,0.47,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.01,0.48,1.371723678,0.8636169809,alta,alta,alta,alta,alta,1
2,0.01,0.49,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.01,0.5,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.50,0.01,0.007401449426,0.007374193107,baixa,baixa,baixa,baixa,baixa,0.04004780794
2,0.50,0.03,0.01816892684,0.01800584428,baixa,baixa,baixa,baixa,baixa,0.03119629162
2,0.50,0.032,0.01878582115,0.01861154682,baixa,baixa,baixa,baixa,baixa,0.03082123701
2,0.50,0.035,0.01802302972,0.01786254039,baixa,baixa,baixa,baixa,baixa,0.03128675555
2,0.50,0.037,0.01829561426,0.01813026326,baixa,baixa,baixa,baixa,baixa,0.0311182896
2,0.50,0.04,0.02362034398,0.02334570004,baixa,baixa,baixa,baixa,baixa,0.02826735319
2,0.50,0.042,0.01247703551,0.01239983877,baixa,baixa,baixa,baixa,baixa,0.03527674955
2,0.50,0.045,0.01617541419,0.01604598601,baixa,baixa,baixa,baixa,baixa,0.0324930427
2,0.50,0.047,0.01656165818,0.01642600958,baixa,baixa,baixa,baixa,baixa,0.03223134347
2,0.50,0.05,0.01791610649,0.0177575046,baixa,baixa,baixa,baixa,baixa,0.0313534873
2,0.50,0.052,0.01834434036,0.01817811276,baixa,baixa,baixa,baixa,baixa,0.03108842443
2,0.50,0.055,0.01704316544,0.01689956006,baixa,baixa,baixa,baixa,baixa,0.03191225404
2,0.50,0.057,0.01068156414,0.01062491925,baixa,baixa,baixa,baixa,baixa,0.03682737592
2,0.50,0.06,0.01471133751,0.01460417551,baixa,baixa,baixa,baixa,baixa,0.03353311463
2,0.50,0.065,0.0151490841,0.01503548259,baixa,baixa,baixa,baixa,baixa,0.03321399142
2,0.50,0.07,0.0128875234,0.01280518593,baixa,baixa,baixa,baixa,baixa,0.03494148895
2,0.50,0.075,0.01565110073,0.01552988539,baixa,baixa,baixa,baixa,baixa,0.03285664248
2,0.50,0.08,0.01817689015,0.01801366545,baixa,baixa,baixa,baixa,baixa,0.03119137353
2,0.50,0.1,0.01762441389,0.01747090495,baixa,baixa,baixa,baixa,baixa,0.03153741588
2,0.50,0.11,0.02175752356,0.02152420684,baixa,baixa,baixa,baixa,baixa,0.02917453334
2,0.50,0.12,0.01258474829,0.01250621851,baixa,baixa,baixa,baixa,baixa,0.03518810442
2,0.50,0.14,0.02364268829,0.02336752851,baixa,baixa,baixa,baixa,baixa,0.02825701807
2,0.50,0.16,0.02726004314,0.02689510545,baixa,baixa,baixa,baixa,baixa,0.02674267428
2,0.50,0.17,0.02327076903,0.02300413331,baixa,baixa,baixa,baixa,baixa,0.02843069723
2,0.50,0.18,0.0367069227,0.03604926895,baixa,baixa,baixa,baixa,baixa,0.02406498622
2,0.50,0.2,0.0249359994,0.02463017103,baixa,baixa,baixa,baixa,baixa,0.02767995788
2,0.50,0.22,0.04221214438,0.04134551607,baixa,baixa,baixa,baixa,baixa,0.02320892711
2,0.50,0.25,0.05803130568,0.05640992249,baixa,baixa,baixa,baixa,baixa,0.02313658597
2,0.50,0.3,0.07262313749,0.07010717874,baixa,baixa,baixa,baixa,baixa,0.02622639433
