W,H,rP,ciclo,media_presas_ultimos_pontos,media_predadores_ultimos_pontos,fase_do_ciclo,fase_da_configuracao
W5,0.01,0.01,1,244721.8,0.0,dominancia_presas,dominancia_presas
W5,0.01,0.01,2,245229.9,0.0,dominancia_presas,dominancia_presas
W5,0.01,0.01,3,244937.4,0.0,dominancia_presas,dominancia_presas
W5,0.01,0.01,4,245056.8,0.0,dominancia_presas,dominancia_presas
W5,0.01,0.01,5,244656.0,0.0,dominancia_presas,dominancia_presas
W5,0.01,0.03,1,237921.1,3573.3,coexistencia,coexistencia
W5,0.01,0.03,2,236690.4,4347.6,coexistencia,coexistencia
W5,0.01,0.03,3,239039.3,3059.7,coexistencia,coexistencia
W5,0.01,0.03,4,236036.7,4669.5,coexistencia,coexistencia
W5,0.01,0.03,5,239646.2,2657.9,coexistencia,coexistencia
W5,0.01,0.05,1,116468.8,56253.5,coexistencia,coexistencia
W5,0.01,0.05,2,114399.2,57746.7,coexistencia,coexistencia
W5,0.01,0.05,3,115350.6,57103.2,coexistencia,coexistencia
W5,0.01,0.05,4,115184.2,57512.4,coexistencia,coexistencia
W5,0.01,0.05,5,116095.9,56773.2,coexistencia,coexistencia
W5,0.01,0.1,1,56811.3,70605.9,coexistencia,coexistencia
W5,0.01,0.1,2,56338.7,71433.2,coexistencia,coexistencia
W5,0.01,0.1,3,56244.3,71336.8,coexistencia,coexistencia
W5,0.01,0.1,4,56153.6,71599.3,coexistencia,coexistencia
W5,0.01,0.1,5,56861.4,70346.6,coexistencia,coexistencia
W5,0.01,0.16,1,36531.1,68326.1,coexistencia,coexistencia
W5,0.01,0.16,2,36089.5,70389.4,coexistencia,coexistencia
W5,0.01,0.16,3,36362.6,69140.5,coexistencia,coexistencia
W5,0.01,0.16,4,36041.5,69794.2,coexistencia,coexistencia
W5,0.01,0.16,5,36732.2,69118.6,coexistencia,coexistencia
W5,0.01,0.2,1,30122.1,65772.7,coexistencia,coexistencia
W5,0.01,0.2,2,30418.7,66644.1,coexistencia,coexistencia
W5,0.01,0.2,3,29275.0,66097.2,coexistencia,coexistencia
W5,0.01,0.2,4,29564.1,67574.7,coexistencia,coexistencia
W5,0.01,0.2,5,29938.1,65710.1,coexistencia,coexistencia
W5,0.01,0.25,1,24728.9,61914.3,coexistencia,coexistencia
W5,0.01,0.25,2,24766.7,62686.8,coexistencia,coexistencia
W5,0.01,0.25,3,24827.8,63166.3,coexistencia,coexistencia
W5,0.01,0.25,4,23890.5,63188.2,coexistencia,coexistencia
W5,0.01,0.25,5,24564.0,62354.1,coexistencia,coexistencia
W5,0.01,0.3,1,21227.8,58447.0,coexistencia,coexistencia
W5,0.01,0.3,2,21656.9,61293.8,coexistencia,coexistencia
W5,0.01,0.3,3,20864.4,59947.5,coexistencia,coexistencia
W5,0.01,0.3,4,20700.5,60732.1,coexistencia,coexistencia
W5,0.01,0.3,5,21293.5,60196.5,coexistencia,coexistencia
W5,0.01,0.35,1,18230.2,57011.7,coexistencia,coexistencia
W5,0.01,0.35,2,18217.6,58596.5,coexistencia,coexistencia
W5,0.01,0.35,3,18461.7,59222.0,coexistencia,coexistencia
W5,0.01,0.35,4,17724.0,58826.2,coexistencia,coexistencia
W5,0.01,0.35,5,18466.0,57522.7,coexistencia,coexistencia
W5,0.01,0.4,1,16366.3,55976.6,coexistencia,coexistencia
W5,0.01,0.4,2,15718.9,56553.6,coexistencia,coexistencia
W5,0.01,0.4,3,15136.5,56781.6,coexistencia,coexistencia
W5,0.01,0.4,4,15504.3,57423.9,coexistencia,coexistencia
W5,0.01,0.4,5,15630.1,55997.3,coexistencia,coexistencia
W5,0.01,0.42,1,15078.3,56610.8,coexistencia,indeterminado
W5,0.01,0.42,2,15152.7,55962.0,coexistencia,indeterminado
W5,0.01,0.42,3,0.0,0.0,extincao_total,indeterminado
W5,0.01,0.42,4,0.0,0.0,extincao_total,indeterminado
W5,0.01,0.42,5,15182.3,56122.9,coexistencia,indeterminado
W5,0.01,0.45,1,0.0,0.0,extincao_total,indeterminado
W5,0.01,0.45,2,0.0,0.0,extincao_total,indeterminado
W5,0.01,0.45,3,0.0,0.0,extincao_total,indeterminado
W5,0.01,0.45,4,13583.6,55495.5,coexistencia,indeterminado
W5,0.01,0.45,5,0.0,0.0,extincao_total,indeterminado
W5,0.01,0.48,1,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.48,2,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.48,3,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.48,4,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.48,5,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.49,1,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.49,2,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.49,3,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.49,4,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.49,5,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.5,1,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.5,2,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.5,3,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.5,4,0.0,0.0,extincao_total,extincao_total
W5,0.01,0.5,5,0.0,0.0,extincao_total,extincao_total
W4,0.01,0.01,1,245251.5,0.0,dominancia_presas,dominancia_presas
W4,0.01,0.01,2,245573.8,0.0,dominancia_presas,dominancia_presas
W4,0.01,0.01,3,245230.8,0.0,dominancia_presas,dominancia_presas
W4,0.01,0.01,4,245309.6,0.0,dominancia_presas,dominancia_presas
W4,0.01,0.01,5,245226.6,0.0,dominancia_presas,dominancia_presas
W4,0.01,0.03,1,237499.8,4067.5,coexistencia,coexistencia
W4,0.01,0.03,2,235194.8,5384.7,coexistencia,coexistencia
W4,0.01,0.03,3,237808.5,3800.1,coexistencia,coexistencia
W4,0.01,0.03,4,233856.6,5986.2,coexistencia,coexistencia
W4,0.01,0.03,5,237936.2,3724.9,coexistencia,coexistencia
W4,0.01,0.05,1,114589.8,57700.1,coexistencia,coexistencia
W4,0.01,0.05,2,112808.4,59023.7,coexistencia,coexistencia
W4,0.01,0.05,3,114207.7,58039.5,coexistencia,coexistencia
W4,0.01,0.05,4,113409.2,58485.8,coexistencia,coexistencia
W4,0.01,0.05,5,114952.3,57640.5,coexistencia,coexistencia
